FILE,LABEL,VALUE
calculation,from,loc_us-gaap_LiabilitiesCurrent_30dca50d-a7bd-cff0-949a-3d7ae869c50d
calculation,to,loc_us-gaap_OperatingLeaseLiabilityCurrent_b91d2f01-85c2-f9fb-3250-26a4b1b39c5e
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_OperatingLeaseLiabilityNoncurrent
calculation,label,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_d18f979c-644d-9e92-9e89-21cfd1312948
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_44863786-cbc4-bac4-e070-0a1f19314584
calculation,to,loc_us-gaap_OperatingLeaseLiabilityNoncurrent_d18f979c-644d-9e92-9e89-21cfd1312948
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_OtherLiabilitiesNoncurrent
calculation,label,loc_us-gaap_OtherLiabilitiesNoncurrent_8c850143-cd0c-0f85-9038-e19d8c4f7808
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_Liabilities_44863786-cbc4-bac4-e070-0a1f19314584
calculation,to,loc_us-gaap_OtherLiabilitiesNoncurrent_8c850143-cd0c-0f85-9038-e19d8c4f7808
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_StockholdersEquity
calculation,label,loc_us-gaap_StockholdersEquity_4b9904d8-8624-0dbb-a949-29ff2cf808a8
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
